Product,Product Name,Video title,Video Link,Video Transcript,Time Stamp 1,Aspect 1,Complaint Label 1,Time Stamp 2,Aspect 2,Complaint Label 2 ,Time Stamp 3,Aspect 3,Complaint Label 3,Time Stamp 4,Aspect 4,Complaint Label 4,Time stamp 5,Aspect 5,Complaint Label 5,Time stamp 6,Aspect 6,Complaint Label 6
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
Camera,,,,,,,,,,,,,,,,,,,,,,
